date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:40	193233/193233	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2009:46:38%20GMT	https://funtechinnovation.com/zh-hant/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/index.html	(from )
11:10:40	132/132	---MCZ	200	added ('OK')	text/plain	date:Tue,%2007%20Jan%202025%2003:10:40%20GMT	https://funtechinnovation.com/robots.txt		(from )
11:10:41	174/174	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Jan%202025%2003:10:41%20GMT	http://funtechinnovation.com/wp-content/cache/wpfc-minified/1ouba4jj/bxdgd.css	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/1ouba4jj/bxdgd.0.delayed	(from https://funtechinnovation.com/zh-hant/)
11:10:41	761/761	---MC-	200	added ('OK')	text/xml	date:Tue,%2007%20Jan%202025%2003:10:41%20GMT	https://funtechinnovation.com/zh-hant/comments/feed/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/comments/feed/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:41	68265/68265	---MC-	200	added ('OK')	text/xml	date:Tue,%2007%20Jan%202025%2003:10:41%20GMT	https://funtechinnovation.com/zh-hant/feed/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/feed/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:43	174/174	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Jan%202025%2003:10:42%20GMT	http://funtechinnovation.com/wp-content/cache/wpfc-minified/mo7xbm0j/bxezk.css	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/mo7xbm0j/bxezk.css	(from https://funtechinnovation.com/zh-hant/)
11:10:43	112208/112208	---MCZ	200	added ('OK')	text/css	etag:W/%2267186dd7-1b650%22	https://funtechinnovation.com/wp-content/cache/wpfc-minified/1ouba4jj/bxdgd.css	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/1ouba4jj/bxdgd.css	(from https://funtechinnovation.com/zh-hant/)
11:10:43	730717/730717	---MCZ	200	added ('OK')	text/css	etag:W/%2267186fc8-b265d%22	https://funtechinnovation.com/wp-content/cache/wpfc-minified/mo7xbm0j/bxezk.css	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/mo7xbm0j/bxezk.css	(from https://funtechinnovation.com/zh-hant/)
11:10:44	174/174	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Jan%202025%2003:10:44%20GMT	http://funtechinnovation.com/wp-content/cache/wpfc-minified/nnbfc9c/bxdgd.css	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/nnbfc9c/bxdgd.css	(from https://funtechinnovation.com/zh-hant/)
11:10:44	1111/1111	---MCZ	200	added ('OK')	text/css	etag:W/%22673761b0-457%22	https://funtechinnovation.com/wp-content/uploads/elementor/css/post-15995.css?ver=1731682736	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/uploads/elementor/css/post-1599507a7.css	(from https://funtechinnovation.com/zh-hant/)
